capture_time_utc,recv_ts_ms,exchange_ts,exchange_ts_ms,symbol,bid,ask,bid_qty,ask_qty,raw_age_ms,adjusted_age_ms,e2e_since_sub_ms
2026-02-22T14:18:12.090684+00:00,1771769892090.647,2026-02-22T14:18:13.490542Z,1771769893490.542,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1399.895,9.036,1940.190
2026-02-22T14:18:12.090746+00:00,1771769892090.729,2026-02-22T14:18:13.492417Z,1771769893492.417,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1401.688,7.243,1940.272
2026-02-22T14:18:12.092224+00:00,1771769892092.204,2026-02-22T14:18:13.494035Z,1771769893494.035,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1401.831,7.100,1941.747
2026-02-22T14:18:12.092252+00:00,1771769892092.245,2026-02-22T14:18:13.494093Z,1771769893494.093,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1401.848,7.083,1941.788
2026-02-22T14:18:12.094022+00:00,1771769892094.013,2026-02-22T14:18:13.495904Z,1771769893495.904,BTC/EUR,57354.5,57354.6,0.11912419,0.03163343,-1401.891,7.039,1943.556
2026-02-22T14:18:12.094042+00:00,1771769892094.036,2026-02-22T14:18:13.495904Z,1771769893495.904,BTC/EUR,57354.1,57354.6,0.00116395,0.03163343,-1401.868,7.062,1943.579
2026-02-22T14:18:12.095724+00:00,1771769892095.711,2026-02-22T14:18:13.497742Z,1771769893497.742,BTC/EUR,57354.5,57354.6,0.11912421,0.03163343,-1402.031,6.900,1945.254
2026-02-22T14:18:12.095753+00:00,1771769892095.744,2026-02-22T14:18:13.497865Z,1771769893497.865,BTC/EUR,57354.5,57355.2,0.11912421,0.03163343,-1402.121,6.809,1945.287
2026-02-22T14:18:12.097679+00:00,1771769892097.667,2026-02-22T14:18:13.499333Z,1771769893499.333,BTC/EUR,57354.5,57354.6,0.11912421,0.03163343,-1401.666,7.265,1947.210
2026-02-22T14:18:12.097708+00:00,1771769892097.698,2026-02-22T14:18:13.499333Z,1771769893499.333,BTC/EUR,57354.1,57354.6,0.00116395,0.03163343,-1401.635,7.296,1947.241
2026-02-22T14:18:12.099262+00:00,1771769892099.244,2026-02-22T14:18:13.501120Z,1771769893501.120,BTC/EUR,57354.1,57355.2,0.00116395,0.03163343,-1401.876,7.054,1948.787
